Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
41	-359.084	257.42816	28.967443	-809.16583	-356.8162	181.8094	-77.77303	-776.3194	1000.0	1000.0	806.0	1644.7261	4760.0	0.0	696.0	1679.8137	6790.0	0.0	410000.0	157.38698	170.9785	621.47516	-36.522575	-160.02014	5.7317815	4344.148828744888
42	-356.67865	170.95003	-146.30704	-738.029	-328.72495	241.57701	-6.215478	-752.0873	1000.0	1000.0	263.0	789.0	2630.0	0.0	913.0	1953.607	6860.0	0.0	420000.0	171.55244	182.79059	553.4475	-39.116238	-173.94867	5.3318505	4448.553014278412
43	-320.62106	206.47574	-61.1322	-663.6152	-340.67072	164.53105	1.0188484	-605.2974	1000.0	1000.0	365.0	575.2434	1550.0	0.0	148.5	355.91116	1200.0	0.0	430000.0	175.33063	186.97548	591.44684	-33.999603	-177.28413	5.04183	4552.375122785568
44	-466.56573	217.71701	-65.14154	-753.9698	-363.55475	174.81612	56.860493	-639.6925	1000.0	1000.0	591.0	993.90594	2580.0	0.0	519.0	822.47125	3010.0	0.0	440000.0	164.24417	177.22694	650.99927	-37.337677	-165.58452	4.597895	4657.007108449936
45	-262.98636	212.4851	-11.487429	-686.3872	-365.56244	159.2196	-106.69342	-790.8425	1000.0	1000.0	13.0	39.0	130.0	0.0	1060.0	1966.8859	6420.0	0.0	450000.0	144.86066	158.91548	552.9122	-40.53094	-145.85492	3.596052	4761.63196849823
46	-279.89932	168.54799	-72.29729	-585.50464	-298.59894	144.35144	-85.516556	-542.11725	1000.0	1000.0	526.0	984.5933	2600.0	0.0	282.0	575.4529	1920.0	0.0	460000.0	126.34704	141.99818	484.13992	-41.767803	-127.22989	2.9327028	4865.631365060806
47	-358.1374	281.6797	58.024883	-927.7729	-301.37286	162.20972	-2.5418293	-682.261	1000.0	1000.0	491.0	636.4189	1610.0	0.0	1039.0	2154.9172	7100.0	0.0	470000.0	107.86493	126.80813	462.6322	-41.598488	-108.56272	2.7434227	4969.838047504425
48	-430.2001	171.29994	-0.0003411905	-667.2848	-333.8478	197.48746	99.43552	-735.8382	1000.0	1000.0	849.0	1836.586	5810.0	0.0	865.0	1651.6007	4940.0	0.0	480000.0	92.20767	116.74534	488.17758	-43.19716	-92.97226	2.951786	5074.076994180679
49	-359.17776	219.30576	-41.500206	-734.4675	-264.59882	169.3677	-3.0326197	-619.41156	1000.0	1000.0	227.0	681.0	2270.0	0.0	385.0	1371.2202	6290.0	0.0	490000.0	81.75175	109.02894	511.10654	-45.255623	-82.567154	2.9939694	5178.134962320328
50	-293.77213	270.4324	100.15787	-652.22565	-287.2979	181.85303	83.45782	-687.02325	1000.0	1000.0	711.0	1535.4897	5050.0	0.0	941.0	1885.6958	7980.0	0.0	500000.0	73.58072	99.27668	528.03076	-48.63152	-74.35943	2.4239037	5282.837676525116
