Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
35	0.10860568	0.2559556	0.55111265	-0.33223164	-0.08675296	0.52847195	1.4002662	-1.2840698	1000.0	1000.0	0.0	0.0	0.0	0.0	1230.0	1944.2711	7440.0	0.0	350000.0	20740.756	21003.273	64698.664	-1.9362159	-21163.605	22347.145	3760.9474177360535
36	-0.057975106	0.65856946	1.457094	-1.4387323	-0.04539897	0.26571643	0.70183486	-0.83490187	1000.0	1000.0	1412.0	2861.3206	8090.0	0.0	531.0	1332.9099	4950.0	0.0	360000.0	22672.54	22849.582	86882.48	-1.8356267	-22909.918	43834.805	3864.5697572231293
37	0.09796424	0.60243887	1.0369104	-1.1047735	0.008887385	0.29988596	0.76947993	-0.8462268	1000.0	1000.0	507.0	1197.6315	3960.0	0.0	240.5	639.7927	2360.0	0.0	370000.0	26284.477	26984.549	117579.51	-1.5963408	-26967.443	71871.32	3968.3577709198
38	-0.1071583	0.37938857	0.4998895	-0.7329589	-0.08965873	0.33481213	0.8599913	-0.950564	1000.0	1000.0	0.0	0.0	0.0	0.0	338.5	898.12177	3040.0	0.0	380000.0	44145.957	45670.42	151166.1	-1.7017801	-45573.67	138455.72	4071.6407935619354
39	-0.08397509	0.24762122	0.3805589	-0.52113926	-0.0058840094	0.37263957	0.6454957	-1.1072785	1000.0	1000.0	0.0	0.0	0.0	0.0	414.0	830.1831	3170.0	0.0	390000.0	71437.21	72878.55	196271.5	-1.94729	-73298.15	232317.72	4175.223124742508
40	-0.12561575	0.33939436	0.34131828	-0.6125363	0.07676701	0.43708056	0.7682853	-1.2341516	1000.0	1000.0	459.0	905.23425	2620.0	0.0	496.0	940.20953	3740.0	0.0	400000.0	91400.234	92246.766	260044.44	-1.8088725	-92718.74	451397.3	4279.483868360519
41	0.07132037	0.54588705	1.2589025	-0.6478706	0.15010181	0.5622185	1.5244194	-0.9201309	1000.0	1000.0	390.0	807.8242	2420.0	0.0	684.0	1413.5714	4980.0	0.0	410000.0	93020.57	94110.305	339933.66	-1.8334162	-93755.51	904908.2	4383.541944980621
42	-0.028473306	0.5081632	0.92834425	-1.2904214	0.014535296	0.65907574	1.4168608	-1.2689985	1000.0	1000.0	41.0	99.24213	330.0	0.0	329.0	773.32336	2660.0	0.0	420000.0	90630.99	92407.8	429501.38	-1.799797	-91867.46	1455737.0	4487.524618387222
43	0.1285933	0.58118457	1.1966027	-0.69935316	0.13834104	0.28224877	0.80033046	-0.30730549	1000.0	1000.0	153.0	346.81552	1130.0	0.0	133.5	383.50064	1590.0	0.0	430000.0	126596.25	132275.95	631934.56	-3.3788695	-130811.53	2393902.0	4591.359034538269
44	-0.12042972	0.5530469	0.752358	-1.1334594	0.021318085	0.27845043	0.58791554	-0.558941	1000.0	1000.0	253.0	487.73047	1300.0	0.0	0.0	0.0	0.0	0.0	440000.0	233330.22	242585.92	924656.4	-1.9159701	-241256.95	4464230.5	4694.839516401291
45	0.37916118	0.4984385	1.3683821	-0.00047259568	-0.06924847	0.39166635	0.8341917	-0.8845949	1000.0	1000.0	49.0	147.0	490.0	0.0	686.5	1389.8894	4800.0	0.0	450000.0	387802.97	397320.84	1200362.0	-1.6489273	-398851.66	7465844.5	4799.662513256073
46	0.021679997	0.3576827	0.8276095	-0.540276	-0.06045887	0.5775071	1.1277403	-1.4774048	1000.0	1000.0	492.0	988.9065	2680.0	0.0	140.5	330.32523	1150.0	0.0	460000.0	558958.6	566170.8	1411427.4	-1.6704558	-570698.1	10392045.0	4903.959824562073
47	-0.12667368	0.5879214	0.79303986	-1.2492574	-0.024209157	0.5871308	1.571184	-0.9509197	1000.0	1000.0	993.0	2307.293	7600.0	0.0	532.0	909.4977	2540.0	0.0	470000.0	664026.7	669229.25	1549782.4	-2.229472	-672789.3	13918229.0	5009.012432336807
48	-0.09758596	0.5069706	0.9189081	-0.8975828	-0.06162117	0.47617003	0.7233993	-1.274423	1000.0	1000.0	621.0	1462.0836	4830.0	0.0	783.0	1092.525	3650.0	0.0	480000.0	657912.7	663221.5	1633957.5	-1.4145308	-662365.1	16935454.0	5113.109287023544
49	-0.04800379	0.4469257	0.55642617	-0.96592224	0.042782295	0.4544192	0.83981526	-1.1052129	1000.0	1000.0	60.0	144.49913	480.0	0.0	346.5	731.47296	2510.0	0.0	490000.0	562187.7	569489.75	1681241.6	-1.1824348	-563056.44	21052890.0	5216.7525062561035
