Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
51	-263.83386	138.0242	-37.81769	-551.60095	-207.85112	242.35863	127.645195	-627.4738	1000.0	1000.0	509999	17596.15	7599.079	36982.54	-7925.178	-17695.629	152848.34	14144.513132095337
52	-307.0005	148.31433	-11.521744	-588.5846	-291.14117	145.93271	-127.465294	-565.11127	1000.0	1000.0	519999	8103.7495	9705.557	35513.426	-19314.465	-7894.004	163267.64	14423.686332941055
53	-251.99057	199.04958	92.03056	-575.21594	-269.33362	158.0847	-18.164791	-620.2779	1000.0	1000.0	529999	-859.22705	10453.348	31043.377	-29598.463	947.3867	184607.58	14703.06922030449
54	-213.82144	175.9922	80.52738	-606.8003	-295.1147	252.9706	-19.470621	-856.7226	1000.0	1000.0	539999	-11976.744	13140.848	20531.17	-62623.242	12602.481	222662.94	14982.826045751572
55	-361.78333	241.71773	102.7828	-619.428	-210.13725	195.57654	92.13001	-621.80145	1000.0	1000.0	549999	-48839.625	20152.514	4075.6133	-134996.7	50173.195	425533.62	15262.146817684174
56	-251.45915	182.94511	19.4922	-591.233	-310.72394	221.69952	63.048717	-664.12866	1000.0	1000.0	559999	-88160.84	19949.215	-30279.482	-188031.42	89945.36	916180.7	15540.82068681717
57	-257.98102	223.21262	102.58907	-689.96954	-273.9615	136.68074	-85.06208	-421.47086	1000.0	1000.0	569999	-151122.72	28624.037	-75855.625	-305724.16	154348.8	1791616.0	15819.840114831924
58	-275.75153	176.61554	33.524807	-628.69305	-254.62651	223.89917	112.31166	-658.63696	1000.0	1000.0	579999	-250027.23	44927.562	-124290.61	-463398.25	255108.4	4419716.5	16099.005725860596
59	-374.54022	188.49022	-37.42156	-730.27344	-355.5998	141.76389	-105.5829	-545.8806	1000.0	1000.0	589999	-414726.88	71347.695	-214267.36	-778656.75	423099.06	10551724.0	16378.377165317535
60	-256.69745	231.31049	123.335556	-583.8374	-378.32233	155.8613	-103.72779	-584.8822	1000.0	1000.0	599999	-623400.3	87875.03	-350898.72	-1133727.5	633802.94	20551952.0	16657.162428617477
