Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
24	0.045411583	0.19717419	0.4977332	-0.34950677	1.1	5.923681	33.0	0.0	1000.0	5255.0	0.007006666666666666	0.0011507579	0.026076147	0.08812253	-0.09498327	0.04023863	0.0015097354	0.15438697	-0.10370532	-1.93278e-08	-0.0008335093	-3.0517577e-09	0.00065696205	0.0004840486	-0.00023949391	1.5873134	-0.005449176	0	0	1.0	1.7089669	0.003332694	750000	7801.594492673874
25	0.109415635	0.3204924	1.4498067	-0.35644215	1.7333333	8.131967	45.0	0.0	1000.0	5307.0	0.006803846153846154	0.004714797	0.02543771	0.13881934	-0.15905385	0.11299921	0.0014938404	0.12234333	-0.0702464	2.0345052e-09	0.015179108	4.0690105e-09	-0.0010102651	0.0021079627	-0.0011189374	2.5698173	-0.005106926	0	0	1.0	1.7097864	0.040767808	780000	8083.965594768524
26	0.070750944	0.2716413	0.4784439	-0.50733525	28.833334	86.91263	422.0	0.0	1000.0	6172.0	0.007619753086419753	0.012987557	0.039101414	0.1881045	-0.16616556	0.183913	0.0035028472	0.6512957	-0.0013303459	4.0690105e-09	0.004259328	-2.360026e-07	-0.004864754	0.0013823841	-0.0009404812	169.61108	-7.3753357	0	0	8.0	1.7105948	0.01389339	810000	8368.083906173706
27	0.12216361	0.22796868	0.45313126	-0.42027476	10.533334	38.034832	200.0	0.0	1000.0	6488.0	0.007723809523809523	0.0057534496	0.033779386	0.12507786	-0.103429146	2.8829114	0.0010942081	2.891477	2.7715116	-4.0690105e-09	-0.0011478129	-3.6621095e-08	-0.00047218832	0.00088429375	-0.0005310231	42.818207	-2.3855133	0	0	1.0	1.712288	0.004340694	840000	8650.667163133621
28	0.06255808	0.26313606	0.5799674	-0.401729	18.066668	78.766716	437.0	0.0	1000.0	7030.0	0.008080459770114942	0.008084327	0.03228501	0.14173272	-0.098169	1.3611555	0.0013622068	1.3846017	1.1717967	0.0	-0.0007580607	1.6276041e-07	-0.0005271321	0.0008111852	-0.00030133023	116.282036	-0.33506775	0	0	1.0	1.7125534	0.00042548197	870000	8933.74012184143
29	0.044238083	0.2659575	0.4146814	-0.38876802	0.0	0.0	0.0	0.0	1000.0	7030.0	0.007811111111111111	0.01565666	0.036010873	0.14479819	-0.13047409	1.9315559	0.0010215373	1.9381682	1.8067569	0.0	-0.0005733459	2.7338665e-09	1.0249775e-06	0.0008894394	-0.00053325796	3.1760278	-3.0284286	0	0	1.0	1.7127484	0.0005586085	900000	9216.01302433014
30	0.10610328	0.29100943	0.57905585	-0.33749378	7.633333	29.310389	140.0	0.0	1000.0	7259.0	0.007805376344086021	0.011334017	0.041249547	0.20283866	-0.1734739	0.21209967	0.0019462875	0.28022987	0.0061724186	-1.0172526e-08	-0.00084634195	1.2207031e-08	0.0001345052	0.0006943129	-0.0003598205	23.318918	-0.32790756	0	0	1.0	1.7130811	0.00068373675	930000	9498.362342834473
31	0.08084534	0.27012604	0.5452612	-0.5033781	4.266667	16.215082	75.0	0.0	1000.0	7387.0	0.007694791666666667	0.0024040223	0.036521796	0.16147383	-0.13225855	0.77597016	0.0020165378	0.806007	0.5379873	4.0690105e-09	-0.0020785644	-3.6621095e-08	6.658122e-05	0.000780506	-0.0003620401	8.537942	-0.07424736	0	0	1.0	1.7135562	0.0023721703	960000	9781.358670711517
32	0.03595605	0.28521377	0.60086465	-0.44948468	10.5	39.348656	166.0	0.0	1000.0	7702.0	0.0077797979797979795	0.003152614	0.03393107	0.1190484	-0.12053912	0.50738233	0.0033973064	0.53627264	-0.04823923	1.0172526e-08	-0.00087681075	4.0690104e-08	-0.0002825602	0.00075892446	-0.00033859487	49.70093	-0.35139465	0	0	1.0	1.7139827	0.0009055855	990000	10063.94638466835
33	0.08099356	0.273212	0.53780764	-0.3542179	19.833334	47.150883	178.0	0.0	1000.0	8297.0	0.008134313725490196	0.0031998036	0.04148949	0.15853967	-0.13790794	1.0927707	0.00044127903	1.1210804	1.056081	1.0172526e-09	-0.00049950863	-3.133138e-07	0.00024635415	0.00064403727	-0.0003100035	59.64701	-1.2048187	0	0	1.0	1.7145753	0.0002860932	1020000	10346.840481042862
34	0.13832745	0.28186005	0.67792135	-0.34284362	28.7	80.37335	389.0	0.0	1000.0	9158.0	0.008721904761904762	0.013332402	0.03574639	0.13352527	-0.14021096	2.1012185	0.052868348	3.0112236	1.9538815	4.0690105e-09	-0.0004896118	-1.4648438e-07	0.00021166992	0.000843272	-0.00037927376	148.32567	-15.842758	0	0	1.0	1.7150141	0.00017276134	1050000	10630.742378234863
35	0.14543886	0.28294876	0.5837833	-0.32599172	14.966666	51.437653	265.0	0.0	1000.0	9607.0	0.008895370370370371	0.008603597	0.039741013	0.12629771	-0.16549115	3.1318116	1.1049477	25.9275	2.5208788	0.0	-0.00071656087	2.4414062e-08	-4.2985026e-05	0.000978489	-0.0005636877	58.266308	-22.961575	0	0	1.0	1.7152951	0.00019828031	1080000	10911.978809595108
36	0.15717433	0.22595991	0.48491558	-0.4991351	9.033334	33.953384	148.0	0.0	1000.0	9878.0	0.0088990990990991	0.018736154	0.03899123	0.16515444	-0.13392724	2.036901	2.1867814	13.506597	1.204132	-8.138021e-09	-0.000684021	3.2552084e-08	0.00033263347	0.0008594281	-0.00010488997	27.645813	-22.518646	0	0	1.0	1.7155818	0.000522309	1110000	11194.303560495377
37	0.22876951	0.3177657	1.413345	-0.30855718	13.666667	42.1231	179.0	0.0	1000.0	10288.0	0.009024561403508772	0.03575495	0.032324295	0.13702972	-0.095424816	2.3109431	5.7227345	41.658897	-0.52560383	-1.8819174e-08	-0.0070551783	-4.8828124e-08	0.003275529	0.0023131517	-0.0011594855	55.614132	-47.32194	0	0	79.0	1.715934	0.0054356083	1140000	11510.714466571808
38	0.171114	0.27415228	0.6557713	-0.32678512	8.266666	22.156918	87.0	0.0	1000.0	10536.0	0.009005128205128205	0.009788633	0.04246209	0.20424154	-0.12210473	3.3618464	11.623316	80.58003	-4.0793104	0.0	-0.009146627	0.0	0.0032113118	0.0012374662	-0.0008282409	79.25061	-73.53873	0	0	79.0	1.6909888	0.004763564	1170000	11827.524413585663
39	0.17235518	0.3036196	0.7532883	-0.45995426	7.1666665	26.328798	139.0	0.0	1000.0	10751.0	0.008959166666666667	0.011308699	0.046725977	0.1599301	-0.12958026	0.893168	2.8877614	39.040245	-3.110649	-2.4414062e-08	-0.010240629	-8.138021e-09	-0.00043828125	0.0011131006	-0.0006678815	16.864172	-7.603115	0	0	79.0	1.6785645	0.0050847493	1200000	12143.599783420563
40	0.35020372	0.3771198	1.6695919	-0.25880808	28.333334	92.808525	433.0	0.0	1000.0	11601.0	0.00943170731707317	0.025109397	0.0391642	0.14789899	-0.10898435	0.99407697	3.1755846	43.01711	-3.9020052	7.1207684e-09	-0.007223059	-9.765625e-08	0.004680046	0.002682655	-0.0012995297	169.90318	-158.66168	0	0	79.0	1.6737301	0.005191513	1230000	12459.43751168251
41	0.35368142	0.34064376	0.91004765	-0.35574815	24.833334	46.58189	135.0	0.0	1000.0	12346.0	0.009798412698412699	0.027823117	0.048570678	0.26468775	-0.15542649	3.5891426	9.966819	84.16663	-23.339409	1.5258789e-09	0.002740431	7.73112e-08	0.001074935	0.0011325231	-0.0006831987	132.63884	-111.61297	0	0	2.0	1.6472831	0.0071527245	1260000	12743.391530752182
42	0.27603057	0.34682974	1.5136533	-0.26757076	33.933334	99.43001	520.0	0.0	1000.0	13364.0	0.01035968992248062	0.026512744	0.04797599	0.21613842	-0.10016918	3.0440612	5.4986835	45.365726	-2.8720717	8.138021e-09	-0.00017473348	9.765625e-08	-0.0005060547	0.0022870589	-0.0009542428	171.15707	-121.74576	0	0	1.0	1.6472561	0.0019444082	1290000	13024.983864068985
43	0.21461368	0.25661454	0.7010978	-0.33071604	31.333334	98.65202	526.0	0.0	1000.0	14304.0	0.010836363636363637	0.019646492	0.043628063	0.183471	-0.101428464	3.628052	8.187059	75.50609	-5.575846	1.6276042e-08	0.0047859172	3.2552084e-08	0.0052623777	0.0009728049	-0.0005895725	243.21387	-97.75404	0	0	1.0	1.6473039	0.00900932	1320000	13307.636155366898
44	0.28423196	0.43847784	1.7785485	-0.3378263	16.666666	50.30861	211.0	0.0	1000.0	14804.0	0.010965925925925926	0.022804307	0.034750946	0.14808513	-0.068548046	3.257313	2.4423304	20.124794	-2.4633331	4.0690105e-09	0.008033719	0.0	-0.0021830893	0.004352575	-0.0021915545	52.61631	-32.297066	0	0	1.0	1.6473933	0.028403047	1350000	13590.736060619354
45	0.15056507	0.26107568	0.61777663	-0.3067418	28.733334	87.49589	449.0	0.0	1000.0	15666.0	0.011352173913043478	0.0144566875	0.063092716	0.26930934	-0.19938226	1.21605	2.0350215	17.30071	-4.666798	-1.0172526e-08	-0.0011059429	6.510417e-08	0.0014082358	0.0022971022	-0.0018477442	145.46622	-87.512276	0	0	5.0	1.64758	0.0009943221	1380000	13875.242363452911
